onset	duration	sample	value	gid
24.80078125	n/a	25397	1121	0
24.80078125	n/a	25397	1251	0
24.80078125	n/a	25397	1311	1078
30.47265625	n/a	31205	2110	0
31.0517578125	n/a	31798	1312	1078
31.0517578125	n/a	31798	1311	1191
40.8525390625	n/a	41834	2110	0
41.421875	n/a	42417	1312	1191
41.421875	n/a	42417	1311	1039
49.8681640625	n/a	51066	2110	0
50.4404296875	n/a	51652	1312	1039
50.4404296875	n/a	51652	1311	1095
61.8671875	n/a	63353	2120	0
65.845703125	n/a	67427	1312	1095
65.845703125	n/a	67427	1311	1061
73.9091796875	n/a	75684	2110	0
74.4814453125	n/a	76270	1312	1061
74.4814453125	n/a	76270	1311	1025
81.1064453125	n/a	83054	2110	0
81.6787109375	n/a	83640	1312	1025
81.6787109375	n/a	83640	1311	1154
92.08203125	n/a	94293	2110	0
92.6533203125	n/a	94878	1312	1154
92.6533203125	n/a	94878	1321	4002
102.6337890625	n/a	105098	2110	0
103.20703125	n/a	105685	1322	4002
103.20703125	n/a	105685	1311	1123
113.3720703125	n/a	116094	2110	0
113.947265625	n/a	116683	1312	1123
113.947265625	n/a	116683	1311	1128
124.4248046875	n/a	127412	2110	0
124.9951171875	n/a	127996	1312	1128
124.9951171875	n/a	127996	1331	4021
129.873046875	n/a	132991	2120	0
132.970703125	n/a	136163	1332	4021
132.970703125	n/a	136163	1351	4050
138.568359375	n/a	141895	2120	0
145.5087890625	n/a	149002	1352	4050
145.5087890625	n/a	149002	1311	1097
155.439453125	n/a	159171	2110	0
156.01171875	n/a	159757	1312	1097
156.01171875	n/a	159757	1311	1027
163.3359375	n/a	167257	2110	0
163.908203125	n/a	167843	1312	1027
163.908203125	n/a	167843	1311	1092
171.8232421875	n/a	175948	2110	0
184.9697265625	n/a	189410	1312	1092
184.9697265625	n/a	189410	1311	1000
195.4140625	n/a	200105	2110	0
195.986328125	n/a	200691	1312	1000
195.986328125	n/a	200691	1321	4006
205.5341796875	n/a	210468	2120	0
210.3369140625	n/a	215386	1322	4006
210.3369140625	n/a	215386	1311	1034
217.037109375	n/a	222247	2110	0
217.6064453125	n/a	222830	1312	1034
217.6064453125	n/a	222830	1311	1076
226.3251953125	n/a	231758	2110	0
226.89453125	n/a	232341	1312	1076
226.89453125	n/a	232341	1331	4026
235.732421875	n/a	241391	2120	0
238.3818359375	n/a	244104	1332	4026
238.3818359375	n/a	244104	1311	1173
245.6044921875	n/a	251500	2120	0
249.955078125	n/a	255955	1312	1173
249.955078125	n/a	255955	1331	4029
258.2998046875	n/a	264500	2120	0
260.9111328125	n/a	267174	1332	4029
260.9111328125	n/a	267174	1311	1208
267.078125	n/a	273489	2110	0
267.65234375	n/a	274077	1312	1208
267.65234375	n/a	274077	1311	1018
275.107421875	n/a	281711	2110	0
275.6796875	n/a	282297	1312	1018
275.6796875	n/a	282297	1311	1147
281.7900390625	n/a	288554	2110	0
282.361328125	n/a	289139	1312	1147
282.361328125	n/a	289139	1311	1138
292.1064453125	n/a	299118	2110	0
292.6796875	n/a	299705	1312	1138
292.6796875	n/a	299705	1311	1100
300.962890625	n/a	308187	2110	0
301.53515625	n/a	308773	1312	1100
301.53515625	n/a	308773	1311	1006
311.490234375	n/a	318967	2110	0
312.0625	n/a	319553	1312	1006
312.0625	n/a	319553	1311	1134
318.673828125	n/a	326323	2110	0
319.2431640625	n/a	326906	1312	1134
319.2431640625	n/a	326906	1311	1212
330.0810546875	n/a	338004	2110	0
330.7255859375	n/a	338664	1312	1212
330.7255859375	n/a	338664	1252	0
379.3369140625	n/a	388442	1241	0
379.3369140625	n/a	388442	1311	1132
390.103515625	n/a	399467	2110	0
398.474609375	n/a	408039	1312	1132
398.474609375	n/a	408039	1311	1020
409.302734375	n/a	419127	2110	0
409.87109375	n/a	419709	1312	1020
409.87109375	n/a	419709	1311	1159
416.173828125	n/a	426163	2120	0
419.5458984375	n/a	429616	1312	1159
419.5458984375	n/a	429616	1311	1114
427.7255859375	n/a	437992	2110	0
428.298828125	n/a	438579	1312	1114
428.298828125	n/a	438579	1321	4007
431.92578125	n/a	442293	2120	0
435.84765625	n/a	446309	1322	4007
435.84765625	n/a	446309	1311	1104
446.951171875	n/a	457679	2110	0
447.521484375	n/a	458263	1312	1104
447.521484375	n/a	458263	1311	1155
454.1962890625	n/a	465098	2110	0
454.7666015625	n/a	465682	1312	1155
454.7666015625	n/a	465682	1311	1229
460.98046875	n/a	472045	2110	0
461.5517578125	n/a	472630	1312	1229
461.5517578125	n/a	472630	1311	1072
468.4921875	n/a	479737	2110	0
469.060546875	n/a	480319	1312	1072
469.060546875	n/a	480319	1311	1228
477.7958984375	n/a	489264	2110	0
478.365234375	n/a	489847	1312	1228
478.365234375	n/a	489847	1311	1081
484.083984375	n/a	495703	2110	0
484.65234375	n/a	496285	1312	1081
484.65234375	n/a	496285	1311	1016
490.427734375	n/a	502199	2110	0
491.001953125	n/a	502787	1312	1016
491.001953125	n/a	502787	1311	1101
496.771484375	n/a	508695	2110	0
497.33984375	n/a	509277	1312	1101
497.33984375	n/a	509277	1311	1237
503.890625	n/a	515985	2110	0
504.4638671875	n/a	516572	1312	1237
504.4638671875	n/a	516572	1311	1082
510.525390625	n/a	522779	2110	0
511.09765625	n/a	523365	1312	1082
511.09765625	n/a	523365	1311	1216
522.994140625	n/a	535547	2110	0
523.56640625	n/a	536133	1312	1216
523.56640625	n/a	536133	1341	4043
531.3134765625	n/a	544066	2110	0
531.8837890625	n/a	544650	1342	4043
531.8837890625	n/a	544650	1311	1024
537.0126953125	n/a	549902	2110	0
537.5859375	n/a	550489	1312	1024
537.5859375	n/a	550489	1311	1036
543.5615234375	n/a	556608	2110	0
544.1328125	n/a	557193	1312	1036
544.1328125	n/a	557193	1311	1090
551.6171875	n/a	564857	2110	0
552.19140625	n/a	565445	1312	1090
552.19140625	n/a	565445	1311	1031
557.720703125	n/a	571107	2110	0
558.2919921875	n/a	571692	1312	1031
558.2919921875	n/a	571692	1311	1058
564.720703125	n/a	578275	2110	0
565.2890625	n/a	578857	1312	1058
565.2890625	n/a	578857	1321	4003
567.984375	n/a	581617	2120	0
573.6142578125	n/a	587382	1322	4003
573.6142578125	n/a	587382	1311	1125
581.8798828125	n/a	595846	2110	0
582.4482421875	n/a	596428	1312	1125
582.4482421875	n/a	596428	1311	1014
590.8955078125	n/a	605078	2110	0
591.466796875	n/a	605663	1312	1014
591.466796875	n/a	605663	1311	1184
599.0634765625	n/a	613442	2110	0
599.63671875	n/a	614029	1312	1184
599.63671875	n/a	614029	1311	1007
612.3671875	n/a	627065	2120	0
616.849609375	n/a	631655	1312	1007
616.849609375	n/a	631655	1311	1209
624.4462890625	n/a	639434	2110	0
625.017578125	n/a	640019	1312	1209
625.017578125	n/a	640019	1311	1205
630.2783203125	n/a	645406	2110	0
630.849609375	n/a	645991	1312	1205
630.849609375	n/a	645991	1311	1064
636.9765625	n/a	652265	2110	0
637.6240234375	n/a	652928	1312	1064
637.6240234375	n/a	652928	1242	0
645.5576171875	n/a	661052	1211	0
645.5576171875	n/a	661052	1311	1146
656.3173828125	n/a	672070	2110	0
678.7685546875	n/a	695060	1312	1146
678.7685546875	n/a	695060	1311	1045
686.65234375	n/a	703133	2110	0
705.5830078125	n/a	722518	1312	1045
705.5830078125	n/a	722518	1311	1127
714.458984375	n/a	731607	2110	0
715.0263671875	n/a	732188	1312	1127
715.0263671875	n/a	732188	1311	1225
721.4990234375	n/a	738816	2110	0
722.06640625	n/a	739397	1312	1225
722.06640625	n/a	739397	1311	1044
727.197265625	n/a	744651	2110	0
727.7724609375	n/a	745240	1312	1044
727.7724609375	n/a	745240	1311	1091
737.2744140625	n/a	754970	2110	0
737.8447265625	n/a	755554	1312	1091
737.8447265625	n/a	755554	1311	1196
749.265625	n/a	767249	2110	0
749.833984375	n/a	767831	1312	1196
749.833984375	n/a	767831	1311	1234
756.001953125	n/a	774147	2110	0
756.5712890625	n/a	774730	1312	1234
756.5712890625	n/a	774730	1311	1026
761.0654296875	n/a	779332	2110	0
761.6328125	n/a	779913	1312	1026
761.6328125	n/a	779913	1311	1029
771.873046875	n/a	790399	2110	0
